g,0.01,0.02,0.01, ,0.002
l,-0.07,-0.00,0.07, ,0.035
g,0.01,-0.01,0.00, ,0.039
r,0.81,0.00,0.02,0.59,0.041
l,0.04,-0.00,0.14, ,0.045
g,0.00,0.02,0.00, ,0.047
r,0.70,0.00,0.03,0.71,0.050
l,0.00,-0.01,0.18, ,0.054
g,-0.03,0.00,0.00, ,0.056
r,0.63,0.00,0.03,0.78,0.059
g,-0.05,-0.02,-0.01, ,0.063
l,0.04,-0.04,0.21, ,0.066
r,0.58,0.00,0.03,0.81,0.068
g,-0.05,-0.04,-0.03, ,0.074
r,0.58,0.00,0.03,0.81,0.076
l,-0.04,-0.03,-0.02, ,0.079
g,-0.01,-0.01,-0.02, ,0.084
r,0.56,0.00,0.03,0.83,0.087
l,-0.06,0.01,-0.18, ,0.090
g,0.03,0.05,0.01, ,0.094
r,0.53,0.01,0.03,0.85,0.097
l,-0.10,0.01,-0.22, ,0.099
g,0.01,0.04,0.02, ,0.104
r,0.53,0.01,0.03,0.85,0.106
l,-0.13,-0.02,0.01, ,0.109
g,-0.02,-0.00,0.01, ,0.113
r,0.53,0.01,0.03,0.85,0.116
l,0.07,0.01,0.16, ,0.118
g,-0.03,0.01,0.01, ,0.123
r,0.52,0.00,0.03,0.85,0.126
l,0.03,-0.02,0.04, ,0.129
g,-0.02,0.01,0.00, ,0.134
r,0.52,0.00,0.03,0.85,0.136
l,-0.12,-0.09,0.01, ,0.139
g,-0.01,-0.02,-0.00, ,0.143
r,0.52,0.00,0.03,0.85,0.146
l,-0.04,-0.05,0.01, ,0.148
g,-0.03,-0.02,-0.01, ,0.154
r,0.52,0.00,0.03,0.85,0.156
l,-0.01,0.02,0.01, ,0.159
g,-0.02,-0.01,-0.01, ,0.164
r,0.52,0.00,0.03,0.85,0.167
l,-0.01,0.02,-0.03, ,0.170
g,-0.01,0.01,-0.00, ,0.174
r,0.52,0.00,0.03,0.85,0.177
l,-0.05,0.03,-0.03, ,0.179
g,0.00,0.01,-0.00, ,0.184
r,0.52,0.00,0.03,0.85,0.186
l,-0.09,-0.01,0.01, ,0.189
g,0.01,-0.00,0.00, ,0.193
r,0.52,0.00,0.03,0.85,0.196
l,-0.12,-0.01,0.01, ,0.198
g,0.02,0.00,0.02, ,0.203
r,0.52,0.00,0.03,0.85,0.206
l,-0.08,0.02,0.01, ,0.209
g,0.03,0.03,0.02, ,0.214
r,0.52,0.00,0.03,0.86,0.216
l,-0.04,-0.05,-0.03, ,0.219
g,0.04,0.02,0.02, ,0.223
r,0.52,0.00,0.03,0.86,0.226
l,0.04,-0.05,0.08, ,0.228
g,0.04,0.02,0.00, ,0.233
r,0.51,0.00,0.03,0.86,0.235
l,0.04,0.01,0.04, ,0.238
g,0.04,0.04,0.01, ,0.243
r,0.51,0.00,0.03,0.86,0.246
l,-0.07,0.01,-0.03, ,0.249
g,0.08,0.04,0.02, ,0.253
r,0.51,0.00,0.03,0.86,0.256
l,-0.09,-0.11,0.01, ,0.258
g,0.10,0.03,0.01, ,0.264
r,0.51,0.00,0.04,0.86,0.266
l,0.17,-0.03,0.20, ,0.269
g,0.07,0.03,-0.03, ,0.273
r,0.51,0.00,0.04,0.86,0.277
l,0.11,0.04,-0.03, ,0.279
g,0.07,0.05,-0.02, ,0.283
r,0.51,0.00,0.04,0.86,0.286
l,-0.12,-0.01,-0.15, ,0.289
g,0.08,0.05,0.00, ,0.294
r,0.51,0.00,0.04,0.86,0.296
l,-0.20,-0.05,-0.18, ,0.299
g,0.05,0.04,0.01, ,0.303
r,0.51,0.00,0.04,0.86,0.306
l,0.07,0.01,0.08, ,0.309
g,-0.01,0.02,-0.03, ,0.313
r,0.51,0.00,0.04,0.86,0.316
l,0.19,0.01,0.20, ,0.319
g,-0.07,-0.00,-0.05, ,0.323
r,0.51,0.00,0.04,0.86,0.325
l,0.08,-0.03,0.12, ,0.329
g,-0.12,-0.02,-0.03, ,0.333
r,0.51,0.00,0.04,0.86,0.337
l,-0.11,0.03,-0.11, ,0.339
g,-0.11,-0.04,-0.00, ,0.344
r,0.51,0.00,0.04,0.86,0.346
l,-0.12,-0.12,0.01, ,0.350
g,-0.09,-0.03,0.00, ,0.354
r,0.51,0.00,0.03,0.86,0.357
l,0.07,-0.02,0.04, ,0.359
g,-0.06,0.00,-0.01, ,0.363
r,0.51,0.00,0.03,0.86,0.366
l,0.15,-0.06,0.08, ,0.369
g,-0.03,0.02,-0.02, ,0.374
r,0.51,0.00,0.03,0.86,0.376
l,-0.12,-0.02,-0.07, ,0.379
g,-0.02,0.00,-0.01, ,0.383
r,0.51,0.00,0.03,0.86,0.386
l,-0.08,-0.05,-0.11, ,0.389
g,-0.04,-0.01,-0.03, ,0.393
r,0.51,0.00,0.03,0.86,0.397
l,-0.04,-0.01,0.01, ,0.399
g,-0.04,0.02,-0.03, ,0.404
r,0.51,0.00,0.03,0.86,0.406
l,0.07,0.07,0.08, ,0.409
g,0.01,0.07,0.13, ,0.413
r,0.51,0.00,0.03,0.86,0.416
l,-0.49,-0.05,-0.03, ,0.418
g,0.01,0.03,0.20, ,0.424
r,0.51,0.00,0.03,0.86,0.426
l,-0.07,-0.09,0.16, ,0.430
g,0.02,0.02,0.17, ,0.433
r,0.51,0.00,0.03,0.86,0.436
l,0.04,-0.09,0.16, ,0.438
g,0.02,0.08,0.17, ,0.443
r,0.51,0.00,0.03,0.86,0.446
l,0.09,-0.01,0.04, ,0.448
