Student ID,gender,leg_length_m,weight_kg,height_cm,max_height_m 
1,0,1.02,74.5,172.6,0.29
1,0,1.02,74.5,172.6,0.29
1,0,1.02,74.5,172.6,0.32
2,1,0.83,60,164,0.21
2,1,0.83,60,164,0.22
2,1,0.83,60,164,0.25
3,1,,62.3,180,0.304
3,1,,62.3,180,0.306
3,1,,62.3,180,0.31
3,1,,62.3,180,0.322
4,0,1.1,95,186,0.36
4,0,1.1,95,186,0.36
4,0,1.1,95,186,0.37
4,0,1.1,95,186,0.43
6,0,0.95,80,176,0.44
7,1,0.94,54.6,162,0.28
7,1,0.94,54.6,162,0.28
7,1,0.94,54.6,162,0.317
7,1,0.94,54.6,162,0.32
9,0,1.03,66.6,179.5,0.342
9,0,1.03,66.6,179.5,0.354
9,0,1.03,66.6,179.5,0.364
9,0,1.03,66.6,179.5,0.378
